"Unit - Thousand Barrels per day (kb/d)"
"Product - Crude oil"
"BALANCE - Exports"

Time,"Jul2021","Aug2021","Sep2021","Oct2021","Nov2021","Dec2021","Jan2022","Feb2022","Mar2022","Apr2022","May2022","Jun2022","Jul2022","Aug2022","Sep2022"
"Country",
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",371,361,432,588,300,448,394,382,401,383,420,440,367,410,335
"Angola",1034,847,989,857,963,1142,663,1119,1078,840,964,1055,894,977,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",194.9484,339.4955,318.384,274.5919,272.1987,307.4003,250.58,220.8368,187.3406,255.002,229.8965,314.9447,146.449,273.4032,275.8837
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",474.7706,468.8271,466.0297,472.1555,467.5037,470.2535,454.0871,460.625,439.8226,482.2437,482.1406,401.4193,434.3545,425.7958,0
"Bahrain",162.6155,162.14,151.085,127.9052,145.926,145.0226,130.9958,142.1357,160.7135,149.3653,130.2826,166.0707,164.7552,163.091,166.8077
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",0,0,0,0,0,0,0,0,0,0,0.2377,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",1594.3871,1259.129,1392.9667,1129.2258,1076,1041.2903,1427.8065,828.2143,1445.2258,1230.6667,1243.5806,1149.9,0,0,0
"Brunei Darussalam",88.8629,87.03789999999999,79.8809,59.4465,67.93389999999999,63.9092,46.8669,51.2154,26.781,50.3189,33.0716,48.8479,48.6974,44.4347,31.4502
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",3167.1981,3263.2458,3082.6253,3026.2171,3330.2573,3325.0587,3295.5787,3231.2186,3357.6294,3211.109,3319.8284,3259.2597,3422.5329,3506.4558,3563.8863
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",140.2032,0,19.0785,20.0874,178.852,123.9677,21.5083,24.035,0,41.0928,0,52.2089,10.9569,114.8371,176.7525
"Chinese Taipei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
